ai likun	China:Smith Kettlewell Eye Res Inst, San Francisco, CA 94115 USA. The Smith-Kettlewell Eye Research Institute	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Emmetropization and Eye Growth in Young Aphakic Chickens
an jianhong	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou 325003, Zhejiang,Peoples R China. Wenzhou Medical University	MOLECULAR VISION	Experimental murine myopia induces collagen type I alpha 1 (COL1A1) DNA methylation and altered COL1A1 messenger RNA expression in sclera
an jianhong	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou 325003, Zhejiang,Peoples R China. Wenzhou Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Genetic Deletion of the Adenosine A(2A) Receptor Confers Postnatal Development of Relative Myopia in Mice
an jianhong	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou 325003, Zhejiang,Peoples R China. Wenzhou Medical University	MOLECULAR VISION	The FGF2 gene in a myopia animal model and human subjects
bai jian	China:Chinese Acad Sci, Key Lab Genome Sci & Informat, Beijing Inst Genom, Beijing,Peoples R China. Chinese Academy of Sciences	MOLECULAR VISION	Evaluation of BLID and LOC399959 as candidate genes for high myopia in the Chinese Han population
bai jie	China:Harbin Med Coll, Dept Ophthalmol, Affiliated Hosp 1, Harbin,Peoples R China. Harbin Medical University	OPHTHALMIC EPIDEMIOLOGY	Refractive Error among the Elderly in Rural Southern Harbin, China
bai yan	China:Wenzhou Med Coll, Sch Optometry & Ophthalmol, Wenzhou, Zhejiang,Peoples R China. Wenzhou Medical University	MOLECULAR VISION	Changes in protein profiles of guinea pig sclera during development of form deprivation myopia and recovery
bai yao	China:Shandong Acad Med Sci, Shandong Eye Inst, Qingdao Eye Hosp, Qingdao,Peoples R China. 	OPHTHALMOLOGY	Focal Choroidal Excavation Complicated by Choroidal Neovascularization
bai yun	China:Third Mil Med Univ, Dept Med Genet, Chongqing,Peoples R China. Third Military Medical University	PLOS ONE	A Large Novel Deletion Downstream ofPAX6 Gene in a Chinese Family with Ocular Coloboma
bai zhilan	China:Xi An Jiao Tong Univ, Grp Ophthalmol Epidemiol Study, Hosp 2, Xian 710004, Shaanxi Prov,Peoples R China. Xian Jiaotong University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Epidemiology of primary open angle glaucoma in a rural population in Shaanxi Province of China
bai zongxi	China:Gen Hosp Tibet Mil Command, Dept Ophthalmol, Lhasa 850007, Tibet Autonomou,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Prevalence and risk factors for eye diseases, blindness, and low vision in Lhasa, Tibet
baig nb	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	EYE	Surgically induced astigmatism in phacoemulsification, pars plana vitrectomy, and combined phacoemulsification and vitrectomy: a comparative study
bao fangjun	China:Wenzhou Med Coll, Affiliated Eye Hosp, Wenzhou,Peoples R China. Wenzhou Medical University	JOURNAL OF REFRACTIVE SURGERY	Biometry of the Cornea in Myopic Chinese Patients
bao fangjun	China:Wenzhou Med Coll, Affiliated Eye Hosp, Wenzhou,Peoples R China. Wenzhou Medical University	OPTOMETRY AND VISION SCIENCE	Posterior Scleral Reinforcement on Progressive High Myopic Young Patients
bao huijing	China:Shanghai Jiao Tong Univ, Shanghai Peoples Hosp 6, Dept Ophthalmol, Shanghai 200233,Peoples R China. Shanghai Jiao Tong University	BMC OPHTHALMOLOGY	Retrospective analysis of changes in the anterior corneal surface after Q value guided LASIK and LASEK in high myopic astigmatism for 3 years
bao jinhua	China:Wenzhou Med Coll, Sch Optometry & Ophthalmol, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Dynamic Changes in Ocular Zernike Aberrations and Tear Menisci Measured with a Wavefront Sensor and an Anterior Segment OCT
bao jinhua	China:Wenzhou Med Coll, Sch Optometry & Ophthalmol, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	VISION RESEARCH	Reading behavior of emmetropic schoolchildren in China
bao jinhua	China:Wenzhou Med Coll, Sch Optometry & Ophthalmol, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	JOURNAL OF VISION	The effect of blur adaptation on accommodative response and pupil size during reading
bi chuncao	China:Xi An Jiao Tong Univ, Sch Med, Affiliated Guangren Hosp, Shaanxi Ophthalm Med Ctr,Xian Hosp 4, Xian 710049,Peoples R China. Xian Jiaotong University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	EFFICACY OF VITRECTOMY WITH TRIAMCINOLONE ASSISTANCE VERSUS INTERNAL LIMITING MEMBRANE PEELING FOR HIGHLY MYOPIC MACULAR HOLE RETINAL DETACHMENT
bi hongsheng	China:Shandong Univ Tradit Chinese Med, Inst Eye, Jinan, Shandong,Peoples R China. 	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Intraocular Pressure and Associated Factors in Children: The Shandong Children Eye Study
bi hongsheng	China:Shandong Univ Tradit Chinese Med, Inst Eye, Jinan, Shandong,Peoples R China. 	PLOS ONE	Refractive Error, Visual Acuity and Causes of Vision Loss in Children in Shandong, China. The Shandong Children Eye Study
bi hongsheng	China:Shandong Univ Tradit Chinese Med, Inst Eye, Jinan, Shandong,Peoples R China. 	OPHTHALMOLOGICA	Early clinical evaluation of AcrySof ReSTOR multifocal intraocular lens for treatment of cataract
bin liyi	China:Capital Univ Med Sci, Beijing Inst Ophthalmol, Beijing Tongren Hosp, Beijing,Peoples R China. Capital Medical University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Association of beta zone of parapapillary atrophy with age-related macular degeneration in adult Chinese. The Beijing Eye Study
bin weiwen	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Tongren Eye Ctr, Beijing,Peoples R China. Capital Medical University	AMERICAN JOURNAL OF OPHTHALMOLOGY	Visual Acuity and Subfoveal Choroidal Thickness: The Beijing Eye Study
cai jianqiu	China:Wenzhou Med Coll, Affiliated Hosp 2, Dept Ophthalmol, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	OPTOMETRY AND VISION SCIENCE	Association of Lumican Gene Polymorphism with High Myopia: A Meta-Analysis
cai jianqiu	China:Wenzhou Med Coll, Affiliated Hosp 2, Dept Ophthalmol, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Evaluation of myopic corneal diameter with the Orbscan II Topography System
cai jianqiu	China:Wenzhou Med Coll, Affiliated Hosp 2, Dept Ophthalmol, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Phacoemulsification versus manual small-incision cataract surgery for age-related cataract: meta-analysis of randomized controlled trials
cai jiping	China:Second Mil Med Univ, Changzheng Hosp, Dept Ophthalmol, Shanghai 200003,Peoples R China. Second Military Medical University	OPHTHALMOLOGY	Meta-analysis: Clinical Outcomes of Laser-Assisted Subepithelial Keratectomy and Photorefractive Keratectomy in Myopia
cai jiping	China:Second Mil Med Univ, Changzheng Hosp, Dept Ophthalmol, Shanghai 200003,Peoples R China. Second Military Medical University	OPHTHALMIC RESEARCH	The Prevalence of Visual Impairment in Older Adults in Mainland China: A Systematic Review and Meta-Analysis
cai suping	China:Jinan Univ, Shenzhen Eye Hosp, Shenzhen,Peoples R China. Jinan University	PLOS ONE	Exome Sequencing Identifies Compound Heterozygous Mutations in CYP4V2 in a Pedigree with Retinitis Pigmentosa
cai wanting	China:Shandong Univ Tradit Chinese Med, Jinan Shierming Eye Hosp, Ctr Eye, Jinan 250002,Peoples R China. 	OPHTHALMOLOGICA	Early clinical evaluation of AcrySof ReSTOR multifocal intraocular lens for treatment of cataract
cai xiaoyu	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	QUANTITATIVE ANALYSIS OF RHEGMATOGENOUS RETINAL DETACHMENT ASSOCIATED WITH CHOROIDAL DETACHMENT IN CHINESE USING UBM
cai xiaoyu	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	EYE	Position of myopic iris-claw phakic intraocular lens by Scheimpflug photography and ultrasound biomicroscopy
cao hong	China:Lanzhou Gen Hosp, Lanzhou Mil Area Command, Dept Ophthalmol, Lanzhou 730050, Gansu,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Prevalence of refractive errors in middle school students in Lanzhou city
cao hui	China:Shanghai Jiao Tong Univ, Peoples Hosp 1, Dept Ophthalmol, Shanghai 200030,Peoples R China. Shanghai Jiao Tong University	OPHTHALMIC SURGERY LASERS & IMAGING	Combination of Internal Limiting Membrane Peeling and Endophotocoagulation for Retinal Detachment Related to High Myopia in Patients With Macular Hole
