ai ming	China:Wuhan Univ, Renmin Hosp, Dept Ophthalmol, Wuhan 430072,Peoples R China. Wuhan University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Clinical analysis of firework-related ocular injuries during Spring Festival 2009
ba jun	China:Tongji Univ, Sch Med, Shanghai Peoples Hosp 10, Dept Ophthalmol, Shanghai 200072,Peoples R China. Tongji University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Elucidation of the Pathogenic Mechanism of Rhegmatogenous Retinal Detachment with Proliferative Vitreoretinopathy by Proteomic Analysis
ba jun	China:Tongji Univ, Sch Med, Shanghai Peoples Hosp 10, Dept Ophthalmol, Shanghai 200072,Peoples R China. Tongji University	CLINICAL AND EXPERIMENTAL OPTOMETRY	Kininogen 1 and insulin-like growth factor binding protein 6: candidate serum biomarkers of proliferative vitreoretinopathy
bai haiqing	China:Qingdao Univ, Coll Med, Affiliated Hosp, Dept Ophthalmol, Qingdao 266003,Peoples R China. Qingdao University	EUROPEAN JOURNAL OF OPHTHALMOLOGY	Visual outcome following intraocular foreign bodies: a retrospective review of 5-year clinical experience
bai jie	China:Harbin Med Coll, Dept Ophthalmol, Affiliated Hosp 1, Harbin 150001,Peoples R China. Harbin Medical University	CURRENT EYE RESEARCH	Effect of Borneol on the Distribution of Danshensu to the Eye in Rabbit via Oral Administration
bai x	China:Xiamen Univ, Xiamen Eye Ctr, Xiamen,Peoples R China. Xiamen University	EYE	Plasma and vitreous fluid levels of Dickkopf-1 in patients with diabetic retinopathy
bai yujing	China:Peking Univ Peoples Hosp, Dept Ophthalmol, Minist Educ, Key Lab Vis Loss & Restorat, Beijing 100044,Peoples R China. Peking University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Effects of Semaphorin 3A on Retinal Pigment Epithelial Cell Activity
bai yujing	China:Peking Univ Peoples Hosp, Dept Ophthalmol, Minist Educ, Key Lab Vis Loss & Restorat, Beijing 100044,Peoples R China. Peking University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Anti-angiogenic effect of KH902 on retinal neovascularization
bai yujing	China:Peking Univ Peoples Hosp, Dept Ophthalmol, Minist Educ, Key Lab Vis Loss & Restorat, Beijing 100044,Peoples R China. Peking University	MOLECULAR VISION	Semaphorin 3A blocks the formation of pathologic choroidal neovascularization induced by transforming growth factor beta
bai yujing	China:Peking Univ Peoples Hosp, Dept Ophthalmol, Minist Educ, Key Lab Vis Loss & Restorat, Beijing 100044,Peoples R China. Peking University	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	Antiangiogenesis Effects of Endostatin in Retinal Neovascularization
bai yujing	China:Peking Univ Peoples Hosp, Dept Ophthalmol, Minist Educ, Key Lab Vis Loss & Restorat, Beijing 100044,Peoples R China. Peking University	MOLECULAR VISION	Inhibition of pathological retinal neovascularization by semaphorin 3A
bai zhengzhong	China:Heilongjiang Inst Drug Control, Harbin, Heilongjiang Pr,Peoples R China. 	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Effect of menthol on ocular drug delivery
bao yongzhen	China:Peking Univ, Dept Ophthalmol, Peoples Hosp, Beijing 100871,Peoples R China. Peking University	BRITISH JOURNAL OF OPHTHALMOLOGY	The incidence of postoperative endophthalmitis after cataract surgery in China: a multicenter investigation of 2006-2011
bi chuncao	China:Xi An Jiao Tong Univ, Sch Med, Affiliated Guangren Hosp, Shaanxi Ophthalm Med Ctr,Xian Hosp 4, Xian 710049,Peoples R China. Xian Jiaotong University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	EFFICACY OF VITRECTOMY WITH TRIAMCINOLONE ASSISTANCE VERSUS INTERNAL LIMITING MEMBRANE PEELING FOR HIGHLY MYOPIC MACULAR HOLE RETINAL DETACHMENT
bi chunchao	China:Xian 4 Hosp, Dept Ophthalmol, Xian 710004, Shaanxi Provinc,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Multiple methods of surgical treatment combined with primary IOL implantation on traumatic lens subluxation/dislocation in patients with secondary glaucoma
bi xiaoping	China:Jiao Tong Univ, Sch Med, Shanghai Peoples Hosp 9, Dept Ophthalmol, Shanghai 200011,Peoples R China. Shanghai Jiao Tong University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	PHARMACOLOGIC VITREOLYSIS WITH PLASMIN AND HYALURONIDASE IN DIABETIC RATS
cai jiping	China:Second Mil Med Univ, Affiliated Hosp 2, Changzheng Hosp, Dept Ophthalmol, Shanghai 200003,Peoples R China. Second Military Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Effect of intravitreal injection of bevacizumab-chitosan nanoparticles on retina of diabetic rats
cai na	China:China Med Univ, Affiliated Hosp 1, Dept Ophthalmol, Shenyang 110001, Liaoning Prov,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Effect of adenovirus -mediated brain derived neurotrophic factor in early retinal neuropathy of diabetes in rats
cao hui	China:Shanghai Jiao Tong Univ, Peoples Hosp 1, Dept Ophthalmol, Shanghai 200030,Peoples R China. Shanghai Jiao Tong University	OPHTHALMIC SURGERY LASERS & IMAGING	Combination of Internal Limiting Membrane Peeling and Endophotocoagulation for Retinal Detachment Related to High Myopia in Patients With Macular Hole
cao xiaoguang	China:NEI, Immunopathol Sect, Immunol Lab, NIH, Bethesda, MD 20892 USA. National Institutes of Health (NIH) - USA	ACTA OPHTHALMOLOGICA	Diagnosis of systemic metastatic retinal lymphoma
chai jun	China:China Med Univ, Dept Anesthesiol, Shengjing Hosp, Shenyang 110004, Liaoning Prov,Peoples R China. China Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Effect of the dipeptide Arg-Gln on retinopathy of prematurity in mice
chan kevinc	China:Univ Hong Kong, State Key Lab Brain & Cognit Sci, Pokfulam, Hong Kong,Peoples R China. University of Hong Kong	EXPERIMENTAL EYE RESEARCH	GD-DTPA enhanced MRI of ocular transport in a rat model of chronic glaucoma
chan yaukei	China:Univ Hong Kong, Li Ka Shing Fac Med, Inst Eye, Pokfulam, Hong Kong,Peoples R China. University of Hong Kong	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Emulsification of Silicone Oil and Eye Movements
chang qing	China:Fudan Univ, Dept Ophthalmol, Eye & ENT Hosp, Shanghai 200433,Peoples R China. Fudan University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Clinical characteristics of ocular toxocariasis in Eastern China
chau ying	China:Hong Kong Univ Sci & Technol, Dept Chem & Biomol Engn, Kowloon, Hong Kong,Peoples R China. Hong Kong University of Science & Technology	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Ultrasound-Mediated Transscleral Delivery of Macromolecules to the Posterior Segment of Rabbit Eye In Vivo
