abdulhalim sancar	China:Wuhan Univ, Dept Ophthalmol, Zhongnan Hosp, Wuhan 430072, Hubei,Peoples R China. Wuhan University	PLOS ONE	Anti-VEGF Agents with or without Antimetabolites in Trabeculectomy for Glaucoma: A Meta-Analysis
ao xiuqin	China:China Med Univ, Shenyang 110001, Liaoning Provin,Peoples R China. China Medical University	MOLECULAR VISION	Effects of optineurin siRNA on apoptotic genes and apoptosis in RGC-5 cells
aung tin	China:Capital Univ Med Sci, Beijing Tongren Hosp, Tongren Eye Ctr, Beijing,Peoples R China. Capital Medical University	JOURNAL OF GLAUCOMA	Dark Room Provocative Test and Extent of Angle Closure An Anterior Segment OCT Study
bai fengge	China:Capital Med Univ, Beijing Tongren Hosp, Beijing Inst Ophthalmol, Beijing Tongren Eye Ctr,Beijing Ophthalmol & Visu, Beijing 100730,Peoples R China. Capital Medical University	MOLECULAR VISION	Large novel deletions detected in Chinese families with aniridia: correlation between genotype and phenotype
bai haiqing	China:Qingdao Univ, Affiliated Hosp, Coll Med, Dept Ophthalmol, Qingdao 266003,Peoples R China. Qingdao University	EUROPEAN JOURNAL OF OPHTHALMOLOGY	Causes and treatments of traumatic secondary glaucoma
bai haiqing	China:Qingdao Univ, Affiliated Hosp, Coll Med, Dept Ophthalmol, Qingdao 266003,Peoples R China. Qingdao University	EUROPEAN JOURNAL OF OPHTHALMOLOGY	Visual outcome following intraocular foreign bodies: a retrospective review of 5-year clinical experience
bai yujing	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Visual Sci Lab, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Pro370Leu myocilin mutation in a Chinese pedigree with juvenile-onset open angle glaucoma
bai yujing	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Visual Sci Lab, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Down-regulation of GRP78 in human glaucomatous trabecular meshwork cells
bai yujing	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Visual Sci Lab, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	In Glaucoma the Upregulated Truncated TrkC.T1 Receptor Isoform in Glia Causes Increased TNF-alpha Production, Leading to Retinal Ganglion Cell Death
bai yujing	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Visual Sci Lab, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	An Agonistic TrkB mAb Causes Sustained TrkB Activation, Delays RGC Death, and Protects the Retinal Structure in Optic Nerve Axotomy and in Glaucoma
bai yujing	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Visual Sci Lab, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Elevated pressure downregulates ZO-1 expression and disrupts cytoskeleton and focal adhesion in human trabecular meshwork cells
bai yujing	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Visual Sci Lab, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Pro370Leu MYOC gene mutation in a large Chinese family with juvenile-onset open angle glaucoma: correlation between genotype and phenotype
bai yujing	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Visual Sci Lab, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Anti-proliferation effects of Sirolimus sustained delivery film in rabbit glaucoma filtration surgery
bai zhilan	China:Xi An Jiao Tong Univ, Grp Ophthalmol Epidemiol Study, Hosp 2, Xian 710004, Shaanxi Prov,Peoples R China. Xian Jiaotong University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Epidemiology of primary open angle glaucoma in a rural population in Shaanxi Province of China
bai zhilan	China:Xi An Jiao Tong Univ, Grp Ophthalmol Epidemiol Study, Hosp 2, Xian 710004, Shaanxi Prov,Peoples R China. Xian Jiaotong University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Magnetic resonance diffusion tensor imaging of optic nerve and optic radiation in healthy adults at 3T
