ai ming	China:Wuhan Univ, Renmin Hosp, Dept Ophthalmol, Wuhan 430072,Peoples R China. Wuhan University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Clinical analysis of firework-related ocular injuries during Spring Festival 2009
bai haiqing	China:Qingdao Univ, Affiliated Hosp, Coll Med, Dept Ophthalmol, Qingdao 266003,Peoples R China. Qingdao University	EUROPEAN JOURNAL OF OPHTHALMOLOGY	Causes and treatments of traumatic secondary glaucoma
bai haiqing	China:Qingdao Univ, Affiliated Hosp, Coll Med, Dept Ophthalmol, Qingdao 266003,Peoples R China. Qingdao University	EUROPEAN JOURNAL OF OPHTHALMOLOGY	Visual outcome following intraocular foreign bodies: a retrospective review of 5-year clinical experience
bai jie	China:Harbin Med Coll, Dept Ophthalmol, Affiliated Hosp 1, Harbin,Peoples R China. Harbin Medical University	CURRENT EYE RESEARCH	Prevalence of and Associated Factors for Corneal Blindness in a Rural Adult Population (The Southern Harbin Eye Study)
bian f	China:Huazhong Univ Sci & Technol, Dept Ophthalmol, Union Hosp Tongji Med Coll, Wuhan, Hubei Province,Peoples R China. Huazhong University of Science & Technology	BRITISH JOURNAL OF OPHTHALMOLOGY	Expression of glial cell-derived neurotrophic factor and its receptor in the stem-cell-containing human limbal epithelium
cao he	China:Shantou Univ, Coll Med, Injury Prevent Res Ctr, Shantou, Guangdong,Peoples R China. Shantou University	PLOS ONE	Epidemiology of Patients Hospitalized for Ocular Trauma in the Chaoshan Region of China, 2001-2010
cao he	China:Shantou Univ, Coll Med, Injury Prevent Res Ctr, Shantou, Guangdong,Peoples R China. Shantou University	PLOS ONE	Epidemiology of Pediatric Ocular Trauma in the Chaoshan Region, China, 2001-2010
chen haoyu	China:Shantou Univ, Joint Shantou Int Eye Ctr, Shantou 515041, Guangdong,Peoples R China. Shantou University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	PREDICTION OF VISUAL PROGNOSIS WITH SPECTRAL-DOMAIN OPTICAL COHERENCE TOMOGRAPHY IN OUTER RETINAL ATROPHY SECONDARY TO CLOSED GLOBE TRAUMA
chen minjie	China:Fudan Univ, Dept Ophthalmol, Eye & ENT Hosp, Shanghai 200031,Peoples R China. Fudan University	JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS	A Comparison of Cyclosporine 0.05% Ophthalmic Emulsion Versus Vehicle in Chinese Patients with Moderate to Severe Dry Eye Disease: An Eight-Week, Multicenter, Randomized, Double-Blind, Parallel-Group Trial
chen qi	China:Peoples Hosp Guangxi Zhuang Autonomous Reg, Dept Ophthalmol, Nanning 530021, Guangxi,Peoples R China. 	CORNEA	A Novel Technique of Sutureless and Glueless Conjunctival Autografting in Pterygium Surgery by Electrocautery Pen
chen shaojun	China:Third Mil Med Univ, Affiliated SW Hosp, Dept Ophthalmol, Chongqing 400038,Peoples R China. Third Military Medical University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Endotamponades in pars plana vitrectomy for metallic intraocular foreign body associated with endophthalmitis
chen song	China:Tianjin Med Univ, Gen Hosp, Dept Ophthalmol, Tianjin 300052,Peoples R China. Tianjin Medical University	CURRENT EYE RESEARCH	Reasons for and Management of Postvitrectomy Vitreous Hemorrhage in Proliferative Diabetic Retinopathy
chen weirong	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	OPHTHALMOLOGICA	Preventive Scleral Buckling and Silicone Oil Tamponade Are Important for Posttraumatic Endophthalmitis Successfully Managed with Vitrectomy
chen yan	China:Fudan Univ, Dept Ophthalmol, Eye Ear Nose & Throat Hosp, Shanghai 200031,Peoples R China. Fudan University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Vision-Related Quality of Life in Patients with Ocular Chemical Burns
cheng bing	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Zhongshan Ophthalm Ctr, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	JOURNAL OF GLAUCOMA	Evaluation of Secondary Glaucoma Associated With Subluxated Lens Misdiagnosed as Acute Primary Angle-closure Glaucoma
cheng gy	China:Capital Univ Med Sci, Beijing TongRen Hosp, Beijing TongRen Eye Ctr, Beijing Inst Ophthalmol, Beijing,Peoples R China. Capital Medical University	EYE	Review of 1375 enucleations in the TongRen Eye Centre, Beijing
chow chow	China:Hong Kong Eye Hosp, Hong Kong, Hong Kong,Peoples R China. 	CURRENT OPINION IN OPHTHALMOLOGY	Update on diagnosis and management of Descemet's membrane detachment
cui hao	China:Harbin Med Coll, Dept Ophthalmol, Affiliated Hosp 1, Harbin,Peoples R China. Harbin Medical University	CURRENT EYE RESEARCH	Prevalence of and Associated Factors for Corneal Blindness in a Rural Adult Population (The Southern Harbin Eye Study)
cui jing	China:Tianjin Med Univ, Gen Hosp, Dept Ophthalmol, Tianjin 300052,Peoples R China. Tianjin Medical University	CURRENT EYE RESEARCH	Reasons for and Management of Postvitrectomy Vitreous Hemorrhage in Proliferative Diabetic Retinopathy
cui ling	China:Peoples Hosp Guangxi Zhuang Autonomous Reg, Dept Ophthalmol, Nanning 530021, Guangxi,Peoples R China. 	CORNEA	A Novel Technique of Sutureless and Glueless Conjunctival Autografting in Pterygium Surgery by Electrocautery Pen
dai jinhui	China:Fudan Univ, Dept Ophthalmol, Eye & ENT Hosp, Shanghai 200031,Peoples R China. Fudan University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Clinic study on silicone hydrogel contact lenses used as bandage contact lenses after LASEK surgery
ding chun	China:Cent S Univ, Xiangya Hosp 2, Dept Ophthalmol, Changsha 410011, Hunan,Peoples R China. Central South University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Clinical study on Hypotony following blunt ocular trauma
ding gang	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Eye Hosp, Qingdao 266071,Peoples R China. 	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Ring-shaped corneoscleral lamellar keratoplasty guided by high-definition optical coherence tomography and Scheimpflug imaging for severe Terrien's marginal corneal degeneration
dong fangtian	China:Chinese Acad Med Sci, Dept Ophthalmol, Peking Union Med Coll Hosp, Beijing 100730,Peoples R China. Chinese Academy of Medical Sciences - Peking Union Medical College	OPTOMETRY AND VISION SCIENCE	Mycobacterium massiliense Keratitis
dong xiaoguang	China:Shandong Eye Inst, Shandong Prov Key Lab, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	AMERICAN JOURNAL OF OPHTHALMOLOGY	Primary diseases of corneal perforation in Shandong Province, China: A 10-year retrospective study
dong yanling	China:Shandong Acad Med Sci, Shandong Eye Inst, Shandong Prov Key Lab Ophthalmol, State Key Lab Cultivat Base, Qingdao 266071,Peoples R China. 	MOLECULAR VISION	Amniotic membrane traps and induces apoptosis of inflammatory cells in ocular surface chemical burn
duan fang	China:Sun Yat Sen Univ, Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	PLOS ONE	How Often Are Major Blood-Borne Pathogens Found in Eye Patients? A Serosurvey at an Eye Hospital in Southern China
