an fengqi	China:Sichuan Univ, Dept Pathol, Chengdu 610064,Peoples R China. Sichuan University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Role of DAF in Protecting against T-Cell Autoreactivity that Leads to Experimental Autoimmune Uveitis
ang marcus	China:Shanghai Jiao Tong Univ, Sch Med, Xinhua Hosp, Dept Ophthalmol, Shanghai 200030,Peoples R China. Shanghai Jiao Tong University	PLOS ONE	Aqueous Cytokine Changes Associated with Posner-Schlossman Syndrome with and without Human Cytomegalovirus
bai lin	China:Chongqing Med Univ, Affiliated Hosp 1, Chongqing Key Lab Ophthalmol, Chongqing,Peoples R China. Chongqing Medical University	PLOS ONE	Genetic Variations of IL-12B, IL-12R beta 1, IL-12R beta 2 in Behcet's Disease and VKH Syndrome
bai lin	China:Chongqing Med Univ, Affiliated Hosp 1, Chongqing Key Lab Ophthalmol, Chongqing,Peoples R China. Chongqing Medical University	PLOS ONE	TRAF5 and TRAF3IP2 Gene Polymorphisms Are Associated with Behcet's Disease and Vogt-Koyanagi-Harada Syndrome: A Case-Control Study
bi hongsheng	China:Key Lab Integrated Tradit Chinese & Western Med P, Jinan 250002,Peoples R China. 	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Plasma metabonomics study of the patients with acute anterior uveitis based on ultra-performance liquid chromatography-mass spectrometry
bi yingwen	China:Fudan Univ, Dept Ophthalmol, Eye & ENT Hosp, Shanghai 200031,Peoples R China. Fudan University	CORNEA	Clinicopathological Features of a Suspected Case of Hereditary Benign Intraepithelial Dyskeratosis With Bilateral Corneas Involved: A Case Report and Mini Review
cai rongrong	China:Fudan Univ, Dept Ophthalmol, Eye & ENT Hosp, Shanghai 200031,Peoples R China. Fudan University	CORNEA	Clinicopathological Features of a Suspected Case of Hereditary Benign Intraepithelial Dyskeratosis With Bilateral Corneas Involved: A Case Report and Mini Review
cai tao	China:Chongqing Med Univ, Affiliated Hosp 1, Chongqing,Peoples R China. Chongqing Medical University	PLOS ONE	Increased Expression of IL-22 Is Associated with Disease Activity in Behcet's Disease
cao qingfeng	China:Chongqing Med Univ, Affiliated Hosp 1, Chongqing Key Lab Ophthalmol, Chongqing,Peoples R China. Chongqing Medical University	PLOS ONE	A Functional Variant of PTPN22 Confers Risk for Vogt-Koyanagi-Harada Syndrome but Not for Ankylosing Spondylitis
chan chan	China:Shanghai Jiao Tong Univ, Sch Med, Xinhua Hosp, Dept Ophthalmol, Shanghai 200030,Peoples R China. Shanghai Jiao Tong University	PLOS ONE	Aqueous Cytokine Changes Associated with Posner-Schlossman Syndrome with and without Human Cytomegalovirus
chan chan	China:Chinese Univ Hong Kong, Hong Kong Eye Hosp, Dept Ophthalmol & Visual Sci, Kowloon, Hong Kong,Peoples R China. Chinese University of Hong Kong	EYE	Effects of the duration of initial oral corticosteroid treatment on the recurrence of inflammation in Vogt-Koyanagi-Harada disease
chan chan	China:Chinese Univ Hong Kong, Hong Kong Eye Hosp, Dept Ophthalmol & Visual Sci, Kowloon, Hong Kong,Peoples R China. Chinese University of Hong Kong	MOLECULAR VISION	CFH 184G as a genetic risk marker for anterior uveitis in Chinese females
chan chan	China:Chinese Univ Hong Kong, Hong Kong Eye Hosp, Dept Ophthalmol & Visual Sci, Kowloon, Hong Kong,Peoples R China. Chinese University of Hong Kong	MOLECULAR VISION	Complement factor H and interleukin gene polymorphisms in patients with non-infectious intermediate and posterior uveitis
chan chan	China:Chinese Univ Hong Kong, Hong Kong Eye Hosp, Dept Ophthalmol & Visual Sci, Kowloon, Hong Kong,Peoples R China. Chinese University of Hong Kong	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Manganese Superoxide Dismutase and Chemokine Genes Polymorphisms in Chinese Patients with Anterior Uveitis
chan chan	China:Chinese Univ Hong Kong, Hong Kong Eye Hosp, Dept Ophthalmol & Visual Sci, Kowloon, Hong Kong,Peoples R China. Chinese University of Hong Kong	OCULAR IMMUNOLOGY AND INFLAMMATION	Clinical Characteristics of Intermediate Uveitis in Chinese Patients
chan chan	China:Chinese Univ Hong Kong, Hong Kong Eye Hosp, Dept Ophthalmol & Visual Sci, Kowloon, Hong Kong,Peoples R China. Chinese University of Hong Kong	EYE	Effects of the duration of initial oral corticosteroid treatment on the recurrence of inflammation in Vogt-Koyanagi-Harada disease
chao weijing	China:Beijing Union Med Coll Hosp, Chinese Med Assoc Soc, Dept Ophthalmol, Beijing,Peoples R China. Chinese Academy of Medical Sciences - Peking Union Medical College	OCULAR IMMUNOLOGY AND INFLAMMATION	Subretinal Hypopyon in Sympathetic Ophthalmia
chee soonphaik	China:Shanghai Jiao Tong Univ, Sch Med, Xinhua Hosp, Dept Ophthalmol, Shanghai 200030,Peoples R China. Shanghai Jiao Tong University	PLOS ONE	Aqueous Cytokine Changes Associated with Posner-Schlossman Syndrome with and without Human Cytomegalovirus
chen baihua	China:Cent S Univ, Xiangya Hosp 2, Dept Ophthalmol, Changsha 410011, Hunan,Peoples R China. Central South University	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Efficacy and necessity of prophylactic vitrectomy for acute retinal necrosis syndrome
chen feilan	China:Chongqing Med Univ, Affiliated Hosp 1, Chongqing Key Lab Ophthalmol, Chongqing 400016,Peoples R China. Chongqing Medical University	MOLECULAR VISION	Polymorphisms of IL23R and Fuchs' syndrome in a Chinese Han population
chen jianhuan	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	OPHTHALMIC GENETICS	Association of Transcription Factor 4 (TCF4) and Protein Tyrosine Phosphatase, Receptor Type G (PTPRG) with Corneal Dystrophies in Southern Chinese
chen l	China:Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Zhongshan,Peoples R China. 	BRITISH JOURNAL OF OPHTHALMOLOGY	Inhibitory effect of rapamycin and dexamethasone on production of IL-17 and IFN-gamma in Vogt-Koyanagi-Harada patients
chen lina	China:Int Uveitis Study Lab Guangdong Prov, Guangzhou, Guangdong,Peoples R China. 	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Diminished frequency and function of CD4(+) CD25(high) regulatory T cells associated with active uveitis in Vogt-Koyanagi-Harada syndrome
chen lina	China:Sun Yat Sen Univ, State Key Lab Ophthalmol, Guangzhou 510275, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Production of interleukin-17 in Behcet's disease is inhibited by cyclosporin A
chen ling	China:Fudan Univ, Dept Ophthalmol, Shanghai Eye Ear Nose & Throat Hosp, Sch Shanghai Med, Shanghai 200031,Peoples R China. Fudan University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Assessment of limbus and central cornea in patients with keratolimbal allograft transplantation using in vivo laser scanning confocal microscopy: an observational study
chen lu	China:Chongqing Med Univ, Affiliated Hosp 1, Chongqing Key Lab Ophthalmol, Chongqing,Peoples R China. Chongqing Medical University	PLOS ONE	TRAF5 and TRAF3IP2 Gene Polymorphisms Are Associated with Behcet's Disease and Vogt-Koyanagi-Harada Syndrome: A Case-Control Study
chen qingshan	China:Shenzhen Eye Hosp, Retina Dept, Shenzhen,Peoples R China. 	OPHTHALMOLOGICA	Clinical characteristics of acute zonal occult outer retinopathy in Chinese patients
chen rongjia	China:Fudan Univ, Dept Ophthalmol, Eye & ENT Hosp, Shanghai 200031,Peoples R China. Fudan University	CORNEA	Clinicopathological Features of a Suspected Case of Hereditary Benign Intraepithelial Dyskeratosis With Bilateral Corneas Involved: A Case Report and Mini Review
chen wei	China:Beijing Haidian Maternal & Child Hlth Hosp, Eye Dept, Beijing,Peoples R China. 	MOLECULAR VISION	The expression of cytokines in the aqueous humor and serum during endotoxin-induced uveitis in C3H/HeN mice
chen wei	China:Beijing Haidian Maternal & Child Hlth Hosp, Eye Dept, Beijing,Peoples R China. 	MOLECULAR VISION	Nuclear factor translocation and acute anterior uveitis
chen wei	China:Capital Med Univ, Beijing Chaoyang Hosp, Dept Ophthalmol, Beijing 100020,Peoples R China. Capital Medical University	MOLECULAR VISION	Expression of toll-like receptor 4 in uvea-resident tissue macrophages during endotoxin-induced uveitis
chen yuanyuan	China:Chongqing Med Univ, Affiliated Hosp 1, Chongqing Key Lab Ophthalmol, Chongqing 400016,Peoples R China. Chongqing Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Elevated Serum Osteopontin Levels and Genetic Polymorphisms of Osteopontin Are Associated with Vogt-Koyanagi-Harada Disease
chen yuanyuan	China:Chongqing Med Univ, Affiliated Hosp 1, Chongqing Key Lab Ophthalmol, Chongqing 400016,Peoples R China. Chongqing Medical University	MOLECULAR VISION	Polymorphisms of IL23R and Fuchs' syndrome in a Chinese Han population
chen yuanyuan	China:Chongqing Med Univ, Affiliated Hosp 1, Chongqing Key Lab Ophthalmol, Chongqing 400016,Peoples R China. Chongqing Medical University	CURRENT EYE RESEARCH	Association Analysis of TGFBR3 Gene with Vogt-Koyanagi-Harada Disease and Behcet's Disease in the Chinese Han Population
chen yuanyuan	China:Chongqing Med Univ, Chongqing Key Lab Ophthalmol, Chongqing Eye Inst, Affiliated Hosp 1, Chongqing,Peoples R China. Chongqing Medical University	PLOS ONE	FGFR1OP tagSNP but Not CCR6 Polymorphisms Are Associated with Vogt-Koyanagi-Harada Syndrome in Chinese Han
chen yuanyuan	China:Chongqing Med Univ, Chongqing Key Lab Ophthalmol, Chongqing Eye Inst, Affiliated Hosp 1, Chongqing,Peoples R China. Chongqing Medical University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	OCULAR MANIFESTATIONS OF SYPHILITIC UVEITIS IN CHINESE PATIENTS
chen yuhong	China:Fudan Univ, Shanghai Med Sch, Eye & ENT Hosp, Dept Ophthalmol, Shanghai 200031,Peoples R China. Fudan University	OCULAR IMMUNOLOGY AND INFLAMMATION	Bilateral Acute Angle Closure Glaucoma as a Presentation of Vogt-Koyanagi-Harada Syndrome in Four Chinese Patients: A Small Case Series
cheng yu	China:Ruijin Hosp, Dept Ophthalmol, Shanghai,Peoples R China. 	OCULAR IMMUNOLOGY AND INFLAMMATION	Ocular Findings in a Patient with Virus-associated Hemophagocytic Syndrome
cheng yu	China:Shanghai Jiao Tong Univ, Ruijin Hosp, Dept Ophthalmol, Affiliated Med Sch, Shanghai 200025,Peoples R China. Shanghai Jiao Tong University	OCULAR IMMUNOLOGY AND INFLAMMATION	Trabeculectomy in the Management of Glaucomatocyclitic Crisis with Visual Field Defect
chi w	China:Sun Yat Sen Univ, Zhongshan Opthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	BRITISH JOURNAL OF OPHTHALMOLOGY	Leptin increases in Vogt-Koyanagi-Harada (VKH) disease and promotes cell proliferation and inflammatory cytokine secretion
chi w	China:Sun Yat Sen Univ, Zhongshan Opthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	MOLECULAR VISION	Production of interleukin-17 in Behcet's disease is inhibited by cyclosporin A
chi w	China:Sun Yat Sen Univ, Zhongshan Opthalm Ctr, State Key Lab Ophthalmol, Guangzhou 510060, Guangdong,Peoples R China. Sun Yat Sen University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Upregulated IL-23 and IL-17 in Behcet patients with active uveitis
chi w	China:Zhongshan Ophthalm Ctr, State Key Lab Ophthalmol, Zhongshan,Peoples R China. 	BRITISH JOURNAL OF OPHTHALMOLOGY	Inhibitory effect of rapamycin and dexamethasone on production of IL-17 and IFN-gamma in Vogt-Koyanagi-Harada patients
chi wei	China:Int Uveitis Study Lab Guangdong Prov, Guangzhou, Guangdong,Peoples R China. 	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Diminished frequency and function of CD4(+) CD25(high) regulatory T cells associated with active uveitis in Vogt-Koyanagi-Harada syndrome
chiang chiang	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Association of C2 and CFB Polymorphisms with Anterior Uveitis
chiang chiang	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	MOLECULAR VISION	CFH 184G as a genetic risk marker for anterior uveitis in Chinese females
chiang chiang	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	MOLECULAR VISION	Complement factor H and interleukin gene polymorphisms in patients with non-infectious intermediate and posterior uveitis
chiang chiang	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	BRITISH JOURNAL OF OPHTHALMOLOGY	Association of CFH and SERPING1 polymorphisms with anterior uveitis
chiang chiang	China:Chinese Univ Hong Kong, Dept Ophthalmol & Visual Sci, Hong Kong, Hong Kong,Peoples R China. Chinese University of Hong Kong	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Manganese Superoxide Dismutase and Chemokine Genes Polymorphisms in Chinese Patients with Anterior Uveitis
chu mingliang	China:Chongqing Med Univ, Affiliated Hosp 1, Chongqing Key Lab Ophthalmol, Chongqing 400016,Peoples R China. Chongqing Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Elevated Serum Osteopontin Levels and Genetic Polymorphisms of Osteopontin Are Associated with Vogt-Koyanagi-Harada Disease
cui hua	China:Jiangxi Prov Peoples Hosp, Jiangxi Eye Ctr, Nanchang 330006, Jiangxi,Peoples R China. 	CUTANEOUS AND OCULAR TOXICOLOGY	Prognosis of corneal wasp sting: case report and review of the literature
dai rongping	China:Beijing Union Med Coll Hosp, Chinese Med Assoc Soc, Dept Ophthalmol, Beijing,Peoples R China. Chinese Academy of Medical Sciences - Peking Union Medical College	OCULAR IMMUNOLOGY AND INFLAMMATION	Subretinal Hypopyon in Sympathetic Ophthalmia
ding weizu	China:Shanghai 8th Peoples Hosp, Dept Ophthalmol, Shanghai,Peoples R China. 	OCULAR IMMUNOLOGY AND INFLAMMATION	Ocular Findings in a Patient with Virus-associated Hemophagocytic Syndrome
dong fangtian	China:Beijing Union Med Coll Hosp, Chinese Med Assoc Soc, Dept Ophthalmol, Beijing,Peoples R China. Chinese Academy of Medical Sciences - Peking Union Medical College	OCULAR IMMUNOLOGY AND INFLAMMATION	Subretinal Hypopyon in Sympathetic Ophthalmia
dong fangtian	China:Beijing Union Med Coll Hosp, Chinese Med Assoc Soc, Dept Ophthalmol, Beijing,Peoples R China. Chinese Academy of Medical Sciences - Peking Union Medical College	OCULAR IMMUNOLOGY AND INFLAMMATION	Choroidal Folds in Acute Vogt-Koyanagi-Harada Disease
dong hongtao	China:Zhengzhou Univ, Affiliated Hosp 1, Dept Ophthalmol, Zhengzhou 450052,Peoples R China. Zhengzhou University	PLOS ONE	IL23R Gene Confers Susceptibility to Ankylosing Spondylitis Concomitant with Uveitis in a Han Chinese Population
du hong	China:Chinese Acad Med Sci, Peking Union Med Coll Hosp, Dept Ophthalmol, Beijing 100730,Peoples R China. Chinese Academy of Medical Sciences - Peking Union Medical College	OCULAR IMMUNOLOGY AND INFLAMMATION	Choroidal Folds in Acute Vogt-Koyanagi-Harada Disease
