adan alfredo	China:Chinese Univ Hong Kong, Dept Ophthalmol, Hong Kong Sanat & Hosp, Happy Valley, Hong Kong,Peoples R China. Chinese University of Hong Kong	AMERICAN JOURNAL OF OPHTHALMOLOGY	Long-term Visual Outcomes of Intravitreal Bevacizumab in Inflammatory Ocular Neovascularization
ai hua	China:Xian 4 Hosp, Dept Ophthalmol, Xian 710004, Shaanxi Provinc,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Different expression pattern of serum soluble intercellular adhesion molecules-1 and neutrophilic expression of CD18 in patients with diabetic retinopathy
ai ming	China:Wuhan Univ, Renmin Hosp, Dept Ophthalmol, Wuhan 430072,Peoples R China. Wuhan University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Clinical analysis of firework-related ocular injuries during Spring Festival 2009
altankhuyag ariunzaya	China:Sekwa Eye Hosp, Beijing,Peoples R China. 	MOLECULAR VISION	Polymorphisms in the vascular endothelial growth factor gene and the risk of diabetic retinopathy in Chinese patients with type 2 diabetes
an fengqi	China:Sichuan Univ, Dept Pathol, Chengdu 610064,Peoples R China. Sichuan University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Role of DAF in Protecting against T-Cell Autoreactivity that Leads to Experimental Autoimmune Uveitis
an jianbin	China:HeBei Med Univ, Dept Ophthalmol, Hosp 2, Shijiazhuang 050000, Hebei,Peoples R China. Hebei Medical University	EXPERIMENTAL EYE RESEARCH	Retinoic acid suppresses the adhesion and migration of human retinal pigment epithelial cells
an jianhong	China:Wenzhou Med Coll, Sch Optometry & Ophthalmol, Wenzhou, Zhejiang,Peoples R China. Wenzhou Medical University	MOLECULAR VISION	The FGF2 gene in a myopia animal model and human subjects
an jing	China:Fourth Mil Med Univ, Dept Clin Aerosp Med, Fac Aerosp Med, Key Lab Aerosp Med Natl Educ Minist, Xian 710032,Peoples R China. Fourth Military Medical University	EXPERIMENTAL EYE RESEARCH	A novel middle-wavelength opsin (M-opsin) null-mutation in the retinal cone dysfunction rate
ao xiuqin	China:China Med Univ, Shenyang 110001, Liaoning Provin,Peoples R China. China Medical University	MOLECULAR VISION	Effects of optineurin siRNA on apoptotic genes and apoptosis in RGC-5 cells
ba jun	China:Tongji Univ, Affiliated Peoples Hosp 10, Dept Ophthalmol, Shanghai 200092,Peoples R China. Tongji University	PLOS ONE	Aspirin Use and Risk of Age-Related Macular Degeneration: A Meta-Analysis
ba jun	China:Tongji Univ, Affiliated Peoples Hosp 10, Dept Ophthalmol, Shanghai 200092,Peoples R China. Tongji University	PLOS ONE	Indocyanine Green-Assisted Internal Limiting Membrane Peeling in Macular Hole Surgery: A Meta-Analysis
ba jun	China:Tongji Univ, Affiliated Peoples Hosp 10, Dept Ophthalmol, Shanghai 200092,Peoples R China. Tongji University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Elucidation of the Pathogenic Mechanism of Rhegmatogenous Retinal Detachment with Proliferative Vitreoretinopathy by Proteomic Analysis
ba jun	China:Tongji Univ, Affiliated Peoples Hosp 10, Dept Ophthalmol, Shanghai 200092,Peoples R China. Tongji University	CLINICAL AND EXPERIMENTAL OPTOMETRY	Kininogen 1 and insulin-like growth factor binding protein 6: candidate serum biomarkers of proliferative vitreoretinopathy
bachelor penggu	China:Third Mil Med Univ, Southwest Eye Hosp, Southwest Hosp, Chongqing,Peoples R China. Third Military Medical University	RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES	Diagnostic and Therapeutic Challenges
bai fengge	China:Capital Med Univ, Beijing Inst Ophthalmol, Beijing Ophthalmol & Visual Sci Key Lab, Beijing Tongren Eye Ctr,Beijing Tongren Hosp, Beijing 100730,Peoples R China. Capital Medical University	MOLECULAR VISION	Identification of two mutations of the RHO gene in two Chinese families with retinitis pigmentosa: Correlation between genotype and phenotype
bai fengge	China:Capital Med Univ, Beijing Inst Ophthalmol, Beijing Ophthalmol & Visual Sci Key Lab, Beijing Tongren Eye Ctr,Beijing Tongren Hosp, Beijing 100730,Peoples R China. Capital Medical University	MOLECULAR VISION	Two novel PRPF31 premessenger ribonucleic acid processing factor 31 homolog mutations including a complex insertion-deletion identified in Chinese families with retinitis pigmentosa
bai haiqing	China:Qingdao Univ, Coll Med, Affiliated Hosp, Dept Ophthalmol, Qingdao 266003,Peoples R China. Qingdao University	EUROPEAN JOURNAL OF OPHTHALMOLOGY	Visual outcome following intraocular foreign bodies: a retrospective review of 5-year clinical experience
bai haiqing	China:Qingdao Univ, Coll Med, Affiliated Hosp, Dept Ophthalmol, Qingdao 266003,Peoples R China. Qingdao University	MOLECULAR VISION	Differential expression of proteins in monozygotic twins with discordance of infantile esotropic phenotypes
bai jian	China:Chinese Acad Sci, Key Lab Genome Sci & Informat, Beijing Inst Genom, Beijing,Peoples R China. Chinese Academy of Sciences	MOLECULAR VISION	Evaluation of BLID and LOC399959 as candidate genes for high myopia in the Chinese Han population
bai l	China:Peoples Hosp Jianyang, Dept Ophthalmol, Jianyang,Peoples R China. 	EYE	Prevalence and risk factors of diabetic retinopathy in Chongqing pre-diabetes patients
bai lin	China:Shanghai Jiao Tong Univ, Dept Ophthalmol, Shanghai Peoples Hosp 1, Shanghai 200030,Peoples R China. Shanghai Jiao Tong University	PLOS ONE	Vision-Related Quality of Life and Self-Rated Satisfaction Outcomes of Rhegmatogenous Retinal Detachment Surgery: 3-Year Prospective Study
