ai ming	China:Wuhan Univ, Renmin Hosp, Dept Ophthalmol, Wuhan 430072,Peoples R China. Wuhan University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	Clinical analysis of firework-related ocular injuries during Spring Festival 2009
an jianhong	China:Wenzhou Med Coll, Sch Ophthalmol & Optometry, Wenzhou 325027, Zhejiang,Peoples R China. Wenzhou Medical University	INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE	Genetic Deletion of the Adenosine A(2A) Receptor Confers Postnatal Development of Relative Myopia in Mice
an na	China:Ophthalmol Inst Shaanxi Prov, Shaanxi Prov Key Lab Ophthalmol, Xian 710002, Shaanxi Provinc,Peoples R China. 	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Corneal ulcer caused by nocardia brasiliensis in a patient with diabetes
aung tin	China:Capital Univ Med Sci, Beijing Tongren Hosp, Tongren Eye Ctr, Beijing,Peoples R China. Capital Medical University	JOURNAL OF GLAUCOMA	Dark Room Provocative Test and Extent of Angle Closure An Anterior Segment OCT Study
bai haiqing	China:Qingdao Univ, Coll Med, Affiliated Hosp, Dept Ophthalmol, Qingdao 266003,Peoples R China. Qingdao University	MOLECULAR VISION	Review: Mesenchymal stem cells and corneal reconstruction
bai jianhai	China:Harbin Med Univ, Dept Ophthalmol, Affiliated Hosp 1, Harbin 150001,Peoples R China. Harbin Medical University	GRAEFES ARCHIVE FOR CLINICAL AND EXPERIMENTAL OPHTHALMOLOGY	In vitro extraction of intra-corneal iron using reverse iontophoresis and vitamin C
bai jie	China:Harbin Med Coll, Dept Ophthalmol, Affiliated Hosp 1, Harbin,Peoples R China. Harbin Medical University	CURRENT EYE RESEARCH	Prevalence of and Associated Factors for Corneal Blindness in a Rural Adult Population (The Southern Harbin Eye Study)
bai jing	China:Harbin Med Coll, Med Genet Lab, Harbin 150001, Heilongjiang,Peoples R China. Harbin Medical University	MOLECULAR VISION	Reduced penetrance in familial Avellino corneal dystrophy associated with TGFBI mutations
bai lang	China:So Med Univ, Dept Ophthalmol, Nanfang Hosp, Guangzhou 510515, Guangdong,Peoples R China. Southern Medical University - China	CORNEA	Blockade of Toll-like Receptor 2 Expression and Membrane Translocation in Rat Corneal Epithelial Cells by Glucocorticoid (TobraDex) After Penetrating Keratoplasty
bai lang	China:So Med Univ, Dept Ophthalmol, Nanfang Hosp, Guangzhou 510515, Guangdong,Peoples R China. Southern Medical University - China	INTERNATIONAL JOURNAL OF OPHTHALMOLOGY	Topical dihydroartemisinin inhibits suture -induced neovascularization in rat corneas through ERK1/2 and p38 pathways
bai li	China:Xiamen Univ, Affiliated Xiamen Eye Ctr, Xiamen 361005,Peoples R China. Xiamen University	MOLECULAR VISION	A mouse dry eye model induced by topical administration of benzalkonium chloride
bai tao	China:Peking Univ Third Hosp, Peking Univ Eye Ctr, Beijing 100191,Peoples R China. Peking University	CUTANEOUS AND OCULAR TOXICOLOGY	Short-term comparative study of the effects of preserved and unpreserved topical levofloxacin on the human ocular surface
bai yujing	China:Peking Univ, Peoples Hosp, Minist Educ, Dept Ophthalmol,Key Lab Vis Loss & Restorat, Beijing 100044,Peoples R China. Peking University	OPHTHALMIC RESEARCH	KH902, a Recombinant Human VEGF Receptor Fusion Protein, Reduced the Level of Placental Growth Factor in Alkali Burn Induced-Corneal Neovascularization
